agent,sample,frame,x,y,yaw
0,0,466,1.7500290870666504,99.69500732421875,1.5707876682281494
0,0,467,1.750030517578125,99.9033432006836,1.5707879066467285
0,0,468,1.7500319480895996,100.11167907714844,1.5707882642745972
0,0,469,1.7500333786010742,100.32001495361328,1.5707885026931763
0,0,470,1.7500346899032593,100.52835083007812,1.5707887411117554
0,0,471,1.7500360012054443,100.73668670654297,1.5707889795303345
0,0,472,1.7500371932983398,100.94502258300781,1.5707893371582031
0,0,473,1.7500383853912354,101.15335845947266,1.5707895755767822
0,0,474,1.7500394582748413,101.3616943359375,1.5707898139953613
0,0,475,1.7500405311584473,101.57003021240234,1.5707900524139404
0,0,476,1.7500416040420532,101.77836608886719,1.5707902908325195
0,0,477,1.7500425577163696,101.98670196533203,1.5707905292510986
0,0,478,1.750043511390686,102.19503784179688,1.5707907676696777
0,0,479,1.7500444650650024,102.40337371826172,1.5707910060882568
0,0,480,1.7500452995300293,102.61170959472656,1.570791244506836
0,0,481,1.7500461339950562,102.8200454711914,1.570791482925415
0,0,482,1.7500468492507935,103.02838134765625,1.5707916021347046
0,0,483,1.7500475645065308,103.2367172241211,1.5707918405532837
0,0,484,1.750048279762268,103.44505310058594,1.5707920789718628
0,0,485,1.7500488758087158,103.65338897705078,1.570792317390442
0,0,486,1.7500494718551636,103.86172485351562,1.570792555809021
0,0,487,1.7500500679016113,104.07006072998047,1.5707926750183105
0,0,488,1.750050663948059,104.27839660644531,1.5707929134368896
0,0,489,1.7500511407852173,104.48673248291016,1.5707931518554688
0,0,490,1.7500516176223755,104.695068359375,1.5707932710647583
0,0,491,1.7500519752502441,104.90340423583984,1.5707935094833374
0,0,492,1.7500523328781128,105.11174011230469,1.570793628692627
0,0,493,1.7500526905059814,105.320068359375,1.570793867111206
0,0,494,1.75005304813385,105.52840423583984,1.5707939863204956
0,0,495,1.7500532865524292,105.73674011230469,1.5707942247390747
0,0,496,1.7500536441802979,105.94507598876953,1.5707943439483643
0,0,497,1.7500537633895874,106.15341186523438,1.5707944631576538
0,0,498,1.7500540018081665,106.36174774169922,1.570794701576233
0,0,499,1.750054121017456,106.57008361816406,1.5707948207855225
0,0,500,1.7500543594360352,106.7784194946289,1.570794939994812
0,0,501,1.7500544786453247,106.98675537109375,1.5707951784133911
0,0,502,1.7500544786453247,107.1950912475586,1.5707952976226807
0,0,503,1.7500545978546143,107.4034194946289,1.5707954168319702
0,0,504,1.7500545978546143,107.61175537109375,1.5707955360412598
0,0,505,1.7500545978546143,107.8200912475586,1.5707956552505493
0,0,506,1.7500545978546143,108.02842712402344,1.5707957744598389
0,0,507,1.7500544786453247,108.23676300048828,1.570796012878418
0,0,508,1.7500544786453247,108.44509887695312,1.5707961320877075
0,0,509,1.7500544786453247,108.65342712402344,1.570796251296997
0,0,510,1.7500544786453247,108.86175537109375,1.5707963705062866
0,0,511,1.7500547170639038,109.070068359375,1.5707964897155762
0,0,512,1.7500553131103516,109.27835845947266,1.5707966089248657
0,0,513,1.750056505203247,109.48660278320312,1.5707968473434448
0,0,514,1.7500603199005127,109.69468688964844,1.5707972049713135
0,0,515,1.7500685453414917,109.90223693847656,1.5707978010177612
0,0,516,1.7500803470611572,110.10883331298828,1.5707987546920776
0,0,517,1.750093936920166,110.31399536132812,1.5707998275756836
0,0,518,1.750108003616333,110.5171890258789,1.570801019668579
0,0,519,1.7501220703125,110.71790313720703,1.5708023309707642
0,0,520,1.750136375427246,110.91571044921875,1.5708036422729492
0,0,521,1.7501513957977295,111.11056518554688,1.5708049535751343
0,0,522,1.7501674890518188,111.30255889892578,1.5708062648773193
0,0,523,1.7501839399337769,111.4917984008789,1.5708073377609253
0,0,524,1.750199317932129,111.67842102050781,1.5708085298538208
0,0,525,1.7502120733261108,111.8625259399414,1.5708097219467163
0,0,526,1.7502208948135376,112.04417419433594,1.5708107948303223
0,0,527,1.7502250671386719,112.22339630126953,1.5708115100860596
0,0,528,1.750224232673645,112.40020751953125,1.5708118677139282
0,0,529,1.7502186298370361,112.57462310791016,1.5708117485046387
0,0,530,1.750209093093872,112.74665832519531,1.570811152458191
0,0,531,1.7501964569091797,112.91630554199219,1.570810079574585
0,0,532,1.750181794166565,113.08358764648438,1.5708086490631104
0,0,533,1.750166416168213,113.24849700927734,1.570806860923767
0,0,534,1.7501511573791504,113.41104125976562,1.5708049535751343
0,0,535,1.7501369714736938,113.57121276855469,1.5708030462265015
0,0,536,1.7501245737075806,113.72901916503906,1.5708012580871582
0,0,537,1.7501143217086792,113.88444519042969,1.570799469947815
0,0,538,1.7501063346862793,114.03750610351562,1.5707980394363403
0,0,539,1.750095248222351,114.18859100341797,1.570797324180603
0,0,540,1.7500759363174438,114.3385009765625,1.5707969665527344
0,0,541,1.7500509023666382,114.4877700805664,1.570796012878418
1,0,466,21.39583396911621,115.8499984741211,-3.141592566167013
1,0,467,21.10416603088379,115.8499984741211,-3.141592566167013
1,0,468,20.8125,115.8499984741211,-3.141592566167013
1,0,469,20.52083396911621,115.8499984741211,-3.141592566167013
1,0,470,20.22916603088379,115.8499984741211,-3.141592566167013
1,0,471,19.9375,115.8499984741211,-3.141592566167013
1,0,472,19.64583396911621,115.8499984741211,-3.141592566167013
1,0,473,19.35416603088379,115.8499984741211,-3.141592566167013
1,0,474,19.0625,115.8499984741211,-3.141592566167013
1,0,475,18.77083396911621,115.8499984741211,-3.141592566167013
1,0,476,18.47916603088379,115.8499984741211,-3.141592566167013
1,0,477,18.1875,115.8499984741211,-3.141592566167013
1,0,478,17.89583396911621,115.8499984741211,-3.141592566167013
1,0,479,17.60416603088379,115.8499984741211,-3.141592566167013
1,0,480,17.3125,115.8499984741211,-3.141592566167013
1,0,481,17.02083396911621,115.8499984741211,-3.141592566167013
1,0,482,16.72916603088379,115.8499984741211,-3.141592566167013
1,0,483,16.4375,115.8499984741211,-3.141592566167013
1,0,484,16.14583396911621,115.8499984741211,-3.141592566167013
1,0,485,15.854166984558105,115.8499984741211,-3.141592566167013
1,0,486,15.5625,115.8499984741211,-3.141592566167013
1,0,487,15.270833015441895,115.8499984741211,-3.141592566167013
1,0,488,14.979166984558105,115.8499984741211,-3.141592566167013
1,0,489,14.6875,115.8499984741211,-3.141592566167013
1,0,490,14.395833015441895,115.8499984741211,-3.141592566167013
1,0,491,14.104166984558105,115.8499984741211,-3.141592566167013
1,0,492,13.8125,115.8499984741211,-3.141592566167013
1,0,493,13.520833015441895,115.8499984741211,-3.141592566167013
1,0,494,13.229166984558105,115.8499984741211,-3.141592566167013
1,0,495,12.9375,115.8499984741211,-3.141592566167013
1,0,496,12.645833015441895,115.8499984741211,-3.141592566167013
1,0,497,12.354166984558105,115.8499984741211,-3.141592566167013
1,0,498,12.0625,115.8499984741211,-3.141592566167013
1,0,499,11.770833015441895,115.8499984741211,-3.141592566167013
1,0,500,11.479166984558105,115.8499984741211,-3.141592566167013
1,0,501,11.1875,115.8499984741211,-3.141592566167013
1,0,502,10.895833015441895,115.8499984741211,-3.141592566167013
1,0,503,10.604166984558105,115.8499984741211,-3.141592566167013
1,0,504,10.3125,115.8499984741211,-3.141592566167013
1,0,505,10.020833015441895,115.8499984741211,-3.141592566167013
1,0,506,9.729166984558105,115.8499984741211,-3.141592566167013
1,0,507,9.4375,115.8499984741211,-3.141592566167013
1,0,508,9.145833015441895,115.8499984741211,-3.141592566167013
1,0,509,8.854166984558105,115.8499984741211,-3.141592566167013
1,0,510,8.5625,115.8499984741211,-3.141592566167013
1,0,511,8.270833015441895,115.8499984741211,-3.141592566167013
1,0,512,7.979166507720947,115.8499984741211,-3.141592566167013
1,0,513,7.6875,115.8499984741211,-3.141592566167013
1,0,514,7.395833492279053,115.8499984741211,-3.141592566167013
1,0,515,7.104166507720947,115.8499984741211,-3.141592566167013
1,0,516,6.8125,115.8499984741211,-3.141592566167013
1,0,517,6.520833492279053,115.8499984741211,-3.141592566167013
1,0,518,6.229166507720947,115.8499984741211,-3.141592566167013
1,0,519,5.9375,115.8499984741211,-3.141592566167013
1,0,520,5.645833492279053,115.8499984741211,-3.141592566167013
1,0,521,5.354166507720947,115.8499984741211,-3.141592566167013
1,0,522,5.0625,115.8499984741211,-3.141592566167013
1,0,523,4.770833492279053,115.8499984741211,-3.141592566167013
1,0,524,4.479166507720947,115.8499984741211,-3.141592566167013
1,0,525,4.1875,115.8499984741211,-3.141592566167013
1,0,526,3.8958332538604736,115.8499984741211,-3.141592566167013
1,0,527,3.6041667461395264,115.8499984741211,-3.141592566167013
1,0,528,3.3125,115.8499984741211,-3.141592566167013
1,0,529,3.0208332538604736,115.8499984741211,-3.141592566167013
1,0,530,2.7291667461395264,115.8499984741211,-3.141592566167013
1,0,531,2.4375,115.8499984741211,-3.141592566167013
1,0,532,2.1458332538604736,115.8499984741211,-3.141592566167013
1,0,533,1.8541666269302368,115.8499984741211,-3.141592566167013
1,0,534,1.5625,115.8499984741211,-3.141592566167013
1,0,535,1.2708333730697632,115.8499984741211,-3.141592566167013
1,0,536,0.9791666865348816,115.8499984741211,-3.141592566167013
1,0,537,0.6875,115.8499984741211,-3.141592566167013
1,0,538,0.3958333432674408,115.8499984741211,-3.141592566167013
1,0,539,0.1041666641831398,115.8499984741211,-3.141592566167013
1,0,540,-0.1875,115.8499984741211,-3.141592566167013
1,0,541,-0.4791666567325592,115.8499984741211,-3.141592566167013
