agent,sample,frame,x,y,yaw
0,0,689,5.2500529289245605,191.91175842285156,1.5707908868789673
0,0,690,5.250076770782471,192.0770263671875,1.5707937479019165
0,0,691,5.250096321105957,192.23989868164062,1.5707964897155762
0,0,692,5.250110626220703,192.40037536621094,1.5707989931106567
0,0,693,5.250120162963867,192.5584716796875,1.570801019668579
0,0,694,5.250123977661133,192.7141571044922,1.5708024501800537
0,0,695,5.250123977661133,192.86746215820312,1.5708034038543701
0,0,696,5.250119209289551,193.0183563232422,1.5708038806915283
0,0,697,5.2501115798950195,193.16685485839844,1.5708037614822388
0,0,698,5.2501020431518555,193.31297302246094,1.5708032846450806
0,0,699,5.250090599060059,193.45668029785156,1.5708024501800537
0,0,700,5.250078201293945,193.597900390625,1.5708013772964478
0,0,701,5.250058650970459,193.73626708984375,1.570800542831421
0,0,702,5.250026226043701,193.87159729003906,1.5708006620407104
0,0,703,5.249978065490723,194.00401306152344,1.5707999467849731
0,0,704,5.2499189376831055,194.13394165039062,1.5707974433898926
0,0,705,5.2498579025268555,194.26174926757812,1.5707930326461792
0,0,706,5.249804973602295,194.38758850097656,1.5707870721817017
0,0,707,5.249767303466797,194.5113983154297,1.570780634880066
0,0,708,5.249748229980469,194.6331024169922,1.5707746744155884
0,0,709,5.249748706817627,194.75259399414062,1.5707699060440063
0,0,710,5.249766826629639,194.86978149414062,1.5707669258117676
0,0,711,5.249800682067871,194.98464965820312,1.5707663297653198
0,0,712,5.249846458435059,195.09715270996094,1.5707682371139526
0,0,713,5.249899864196777,195.20729064941406,1.5707722902297974
0,0,714,5.249958038330078,195.31504821777344,1.570778250694275
0,0,715,5.250016212463379,195.42044067382812,1.570785641670227
0,0,716,5.250071048736572,195.5234375,1.570793867111206
0,0,717,5.250120162963867,195.6240692138672,1.5708023309707642
0,0,718,5.250161170959473,195.7222900390625,1.5708104372024536
0,0,719,5.250192165374756,195.81813049316406,1.5708177089691162
0,0,720,5.250212669372559,195.9115753173828,1.5708237886428833
0,0,721,5.250223159790039,196.0026397705078,1.5708283185958862
0,0,722,5.2502241134643555,196.09129333496094,1.570831060409546
0,0,723,5.250216484069824,196.1775665283203,1.5708317756652832
0,0,724,5.25020170211792,196.2614288330078,1.5708303451538086
0,0,725,5.250181674957275,196.34291076660156,1.5708271265029907
0,0,726,5.250158309936523,196.4219970703125,1.5708221197128296
0,0,727,5.250133514404297,196.49867248535156,1.5708158016204834
0,0,728,5.250105857849121,196.5726318359375,1.5708087682724
0,0,729,5.250069618225098,196.6436004638672,1.5708013772964478
0,0,730,5.250021934509277,196.7114715576172,1.5707926750183105
0,0,731,5.2499680519104,196.77667236328125,1.5707812309265137
0,0,732,5.249917030334473,196.8396453857422,1.5707671642303467
0,0,733,5.249877452850342,196.90065002441406,1.5707515478134155
0,0,734,5.24985408782959,196.959716796875,1.5707361698150635
