agent,sample,frame,x,y,yaw
0,0,399,-5.611147880554199,106.28229522705078,2.2510385513305664
0,0,400,-5.727832317352295,106.41635131835938,2.2572760581970215
0,0,401,-5.8439154624938965,106.5478286743164,2.2633743286132812
0,0,402,-5.959352016448975,106.6767578125,2.2693419456481934
0,0,403,-6.074095249176025,106.80316925048828,2.2751874923706055
0,0,404,-6.1880950927734375,106.92709350585938,2.2809195518493652
0,0,405,-6.301173210144043,107.04840850830078,2.286539316177368
0,0,406,-6.413041591644287,107.1668930053711,2.2920589447021484
0,0,407,-6.523622989654541,107.2825927734375,2.297503709793091
0,0,408,-6.633028507232666,107.39575958251953,2.302954912185669
0,0,409,-6.741351127624512,107.50658416748047,2.3084042072296143
0,0,410,-6.848628044128418,107.61512756347656,2.3137898445129395
0,0,411,-6.954948902130127,107.72146606445312,2.319031238555908
0,0,412,-7.060421466827393,107.8257827758789,2.324126958847046
0,0,413,-7.1650071144104,107.9281234741211,2.329108715057373
0,0,414,-7.268616676330566,108.02848815917969,2.3339927196502686
0,0,415,-7.371155738830566,108.12684631347656,2.3387868404388428
0,0,416,-7.472542762756348,108.2231674194336,2.3434946537017822
0,0,417,-7.572718143463135,108.31741333007812,2.348118305206299
0,0,418,-7.671639919281006,108.40959167480469,2.3526580333709717
0,0,419,-7.7692790031433105,108.49971008300781,2.3571126461029053
0,0,420,-7.865610599517822,108.58777618408203,2.361480474472046
0,0,421,-7.960609436035156,108.6738052368164,2.365760087966919
0,0,422,-8.054251670837402,108.7578125,2.369950532913208
0,0,423,-8.146512985229492,108.8398208618164,2.3740508556365967
0,0,424,-8.237369537353516,108.91984558105469,2.378061056137085
0,0,425,-8.32679557800293,108.99791717529297,2.3819804191589355
0,0,426,-8.41476821899414,109.07404327392578,2.3858091831207275
0,0,427,-8.501261711120605,109.14826202392578,2.389547109603882
0,0,428,-8.586252212524414,109.22058868408203,2.3931949138641357
0,0,429,-8.66971492767334,109.29105377197266,2.39675235748291
0,0,430,-8.751625061035156,109.35967254638672,2.4002203941345215
0,0,431,-8.831958770751953,109.42648315429688,2.403599739074707
0,0,432,-8.910639762878418,109.49144744873047,2.406890392303467
0,0,433,-8.987250328063965,109.55423736572266,2.410090208053589
