0	1	1.752976	124.341110
0	2	5.250000	80.477776
10	1	1.752886	125.179482
10	2	5.250000	82.422226
20	1	1.752782	126.017227
20	2	5.250000	84.366669
30	1	1.752665	126.854454
30	2	5.250000	86.311111
40	1	1.752540	127.691231
40	2	5.250000	88.255554
50	1	1.752407	128.527634
50	2	5.250000	90.199997
60	1	1.752269	129.363724
60	2	5.250000	92.144447
70	1	1.752127	130.199539
70	2	5.250000	94.088890
80	1	1.751982	131.035141
80	2	5.250000	96.033333
90	1	1.751835	131.870529
90	2	5.250000	97.977776
100	1	1.751689	132.705734
100	2	5.250000	99.922226
110	1	1.751545	133.540787
110	2	5.250000	101.866669
120	1	1.751403	134.375687
120	2	5.250000	103.811111
130	1	1.751264	135.210480
130	2	5.250000	105.755554
140	1	1.751130	136.045135
140	2	5.250000	107.699997
150	1	1.751001	136.879700
150	2	5.250000	109.644447
160	1	1.750877	137.714157
160	2	5.250000	111.588890
170	1	1.750760	138.548523
170	2	5.250000	113.533333
180	1	1.750649	139.382812
180	2	5.250000	115.477776
190	1	1.750545	140.217026
190	2	5.250000	117.422226
200	1	1.750448	141.051178
200	2	5.250000	119.366669
210	1	1.750358	141.885269
210	2	5.250000	121.311111
220	1	1.750276	142.719299
220	2	5.250000	123.255554
230	1	1.750200	143.553268
230	2	5.250000	125.199997
240	1	1.750132	144.387192
240	2	5.250000	127.144447
250	1	1.750071	145.221069
250	2	5.250000	129.088882
260	1	1.750018	146.054916
260	2	5.250000	131.033340
270	1	1.750344	146.888702
270	2	5.250000	132.977783
280	1	1.753092	147.722458
280	2	5.250000	134.922226
290	1	1.761945	148.556076
290	2	5.250000	136.866669
300	1	1.782301	149.389297
300	2	5.250000	138.811111
310	1	1.822083	150.221405
310	2	5.250000	140.755554
320	1	1.890007	151.051025
320	2	5.250000	142.699997
330	1	1.987612	151.877518
330	2	5.250000	144.644440
340	1	2.110776	152.700806
340	2	5.250000	146.588882
350	1	2.253252	153.521301
350	2	5.250000	148.533340
360	1	2.411007	154.339218
360	2	5.250000	150.477783
370	1	2.582441	155.154526
370	2	5.250000	152.422226
380	1	2.766395	155.966812
380	2	5.250000	154.366669
390	1	2.956802	156.754059
390	2	5.250000	156.311111
400	1	3.146901	157.473877
400	2	5.250000	158.251511
410	1	3.339889	158.128113
410	2	5.250000	160.165863
420	1	3.535427	158.719925
420	2	5.250000	162.050812
430	1	3.725136	159.250671
430	2	5.250000	163.906326
440	1	3.898110	159.713287
440	2	5.250000	165.732437
450	1	4.057117	160.124832
450	2	5.250000	167.529144
