0	1	5.249987	213.114029
0	2	1.750000	251.333328
10	1	5.249988	215.057190
10	2	1.750000	252.722229
20	1	5.249989	217.000748
20	2	1.750000	254.111115
30	1	5.249990	218.944656
30	2	1.750000	255.500000
40	1	5.249991	220.888931
40	2	1.750000	256.888885
50	1	5.249992	222.833542
50	2	1.750000	258.277771
60	1	5.249992	224.778442
60	2	1.750000	259.666656
70	1	5.249993	226.723648
70	2	1.750000	261.055542
80	1	5.249994	228.669098
80	2	1.750000	262.444458
90	1	5.249995	230.614807
90	2	1.750000	263.833344
100	1	5.249995	232.560730
100	2	1.750000	265.222229
110	1	5.249996	234.506836
110	2	1.750000	266.611115
120	1	5.249997	236.453140
120	2	1.750000	268.000000
130	1	5.249997	238.399582
130	2	1.750000	269.388885
140	1	5.249998	240.346146
140	2	1.750000	270.777771
150	1	5.249998	242.292831
150	2	1.750000	272.166656
160	1	5.249998	244.239609
160	2	1.750000	273.555542
170	1	5.249999	246.186462
170	2	1.749871	274.924133
180	1	5.249999	248.133362
180	2	1.748974	276.234131
190	1	5.249999	250.080292
190	2	1.747686	277.484192
200	1	5.250000	252.027237
200	2	1.747494	278.673737
210	1	5.250000	253.974197
210	2	1.750190	279.803009
220	1	5.250000	255.921127
220	2	1.757369	280.872284
230	1	5.250000	257.868042
230	2	1.770250	281.881592
240	1	5.250000	259.814911
240	2	1.789644	282.830902
250	1	5.250000	261.761749
250	2	1.815978	283.720001
260	1	5.250000	263.708496
260	2	1.849326	284.548859
270	1	5.250000	265.655182
270	2	1.889426	285.317291
280	1	5.250000	267.601776
280	2	1.935697	286.025269
290	1	5.250000	269.548279
290	2	1.987246	286.672638
300	1	5.250000	271.494690
300	2	2.042866	287.259369
310	1	5.250000	273.441010
310	2	2.101172	287.785400
320	1	5.250000	275.387207
320	2	2.160791	288.250702
330	1	5.250000	277.333313
330	2	2.219360	288.655396
340	1	5.250016	279.273132
340	2	2.273536	288.999756
350	1	5.250062	281.166595
350	2	2.319737	289.283997
360	1	5.250109	282.991486
360	2	2.354843	289.508209
370	1	5.250083	284.755951
370	2	2.376569	289.672119
380	1	5.250046	286.461121
380	2	2.392280	289.776520
390	1	5.250043	288.106659
390	2	2.400406	289.823425
400	1	5.250056	289.692291
400	2	2.401637	289.829956
410	1	5.250062	291.217896
410	2	2.403306	289.834900
420	1	5.250056	292.683594
420	2	2.405647	289.840210
430	1	5.250026	294.100586
430	2	2.408246	289.845490
440	1	5.249990	295.501648
440	2	2.410951	289.850647
450	1	5.249972	296.893097
450	2	2.413718	289.855774
