0	1	5.250015	403.663361
0	2	1.750000	429.899994
10	1	5.250014	406.709869
10	2	1.750000	432.399994
20	1	5.250013	409.757935
20	2	1.750000	434.899994
30	1	5.250012	412.807556
30	2	1.750000	437.399994
40	1	5.250010	415.858643
40	2	1.750000	439.899994
50	1	5.250010	418.911194
50	2	1.750000	442.399994
60	1	5.250009	421.965149
60	2	1.750000	444.899994
70	1	5.250008	425.020477
70	2	1.750000	447.399994
80	1	5.250007	428.077118
80	2	1.750000	449.899994
90	1	5.250006	431.135040
90	2	1.750000	452.399994
100	1	5.250005	434.194153
100	2	1.750000	454.899994
110	1	5.250004	437.254456
110	2	1.750000	457.399994
120	1	5.250004	440.315796
120	2	1.750000	459.899994
130	1	5.250003	443.378204
130	2	1.750000	462.399994
140	1	5.250002	446.441589
140	2	1.750000	464.899994
150	1	5.250002	449.505859
150	2	1.750000	467.399994
160	1	5.250001	452.570984
160	2	1.750000	469.899994
170	1	5.250001	455.636902
170	2	1.750000	472.399994
180	1	5.250001	458.703522
180	2	1.750000	474.899994
190	1	5.250000	461.770813
190	2	1.750000	477.399994
200	1	5.250000	464.838654
200	2	1.750000	479.899994
210	1	5.250000	467.907043
210	2	1.750000	482.399994
220	1	5.250000	470.975891
220	2	1.750000	484.899994
230	1	5.250000	474.045105
230	2	1.750000	487.399994
240	1	5.249999	477.114685
240	2	1.750000	489.899994
250	1	5.249999	480.184509
250	2	1.750000	492.399994
260	1	5.249999	483.254517
260	2	1.750000	494.899994
270	1	5.249999	486.324707
270	2	1.750000	497.399994
280	1	5.249999	489.394958
280	2	1.750000	499.899994
290	1	5.249999	492.465240
290	2	1.750000	502.399994
300	1	5.249999	495.535522
300	2	1.750000	504.899994
310	1	5.249999	498.605713
310	2	1.749517	507.384460
320	1	5.249999	501.675781
320	2	1.743967	509.795410
330	1	5.249999	504.745667
330	2	1.736491	512.127014
340	1	5.249999	507.815338
340	2	1.742813	514.378357
350	1	5.249999	510.884766
350	2	1.782014	516.549438
360	1	5.249999	513.953857
360	2	1.868324	518.639343
370	1	5.249999	517.022644
370	2	2.007603	520.646301
380	1	5.249999	520.091064
380	2	2.198024	522.568481
390	1	5.249999	523.159058
390	2	2.432634	524.404663
400	1	5.250011	526.218323
400	2	2.701810	526.154785
410	1	5.250038	529.225037
410	2	2.994807	527.819519
420	1	5.250053	532.163452
420	2	3.300507	529.400330
430	1	5.250031	535.042603
430	2	3.607813	530.899109
440	1	5.249996	537.887695
440	2	3.906000	532.318176
450	1	5.249993	540.722595
450	2	4.185160	533.659729
