0	1	-12.200624	273.769897
0	2	-10.773399	250.826233
10	1	-12.651436	275.661407
10	2	-11.329375	253.263626
20	1	-13.101477	277.553131
20	2	-11.885311	255.701035
30	1	-13.550735	279.445038
30	2	-12.441680	258.138336
40	1	-13.999206	281.337097
40	2	-12.997430	260.575775
50	1	-14.446888	283.229370
50	2	-13.553570	263.013123
60	1	-14.893785	285.121796
60	2	-14.109889	265.450439
70	1	-15.339908	287.014404
70	2	-14.665472	267.887939
80	1	-15.785266	288.907196
80	2	-15.221825	270.325256
90	1	-16.229876	290.800171
90	2	-15.778109	272.762573
100	1	-16.673754	292.693298
100	2	-16.333612	275.200073
110	1	-17.116920	294.586609
110	2	-16.890083	277.637360
120	1	-17.559397	296.480042
120	2	-17.446341	280.074677
130	1	-18.001205	298.373657
130	2	-18.001844	282.512177
140	1	-18.442373	300.267426
140	2	-18.558340	284.949463
150	1	-18.882925	302.161316
150	2	-19.114578	287.386780
160	1	-19.322886	304.055359
160	2	-19.670126	289.824280
170	1	-19.762283	305.949524
170	2	-20.226589	292.261566
180	1	-20.201157	307.843811
180	2	-20.782724	294.698914
190	1	-20.639935	309.738098
190	2	-21.338112	297.136444
200	1	-21.079987	311.632111
200	2	-21.894524	299.573761
210	1	-21.523945	313.525177
210	2	-22.450794	302.011078
220	1	-21.976135	315.416260
220	2	-23.006321	304.448578
230	1	-22.442991	317.303589
230	2	-23.562832	306.885834
240	1	-22.929358	319.185822
240	2	-24.119076	309.323181
250	1	-23.436375	321.062500
250	2	-24.674606	311.760681
260	1	-23.962811	322.933807
260	2	-25.231077	314.197968
270	1	-24.505995	324.800323
270	2	-25.787283	316.635284
280	1	-25.063166	326.662750
280	2	-26.342890	319.072784
290	1	-25.631897	328.521790
290	2	-26.899321	321.510071
300	1	-26.210121	330.377930
300	2	-27.455441	323.947418
310	1	-26.796076	332.231750
310	2	-28.011162	326.384888
320	1	-27.388245	334.083649
320	2	-28.567556	328.822174
330	1	-27.985353	335.934021
330	2	-29.123510	331.259583
340	1	-28.586460	337.783142
340	2	-29.679419	333.696991
350	1	-29.190601	339.631317
350	2	-30.235783	336.134277
360	1	-29.795202	341.473511
360	2	-30.789055	338.559418
370	1	-30.387575	343.272461
370	2	-31.335228	340.956146
380	1	-30.960926	345.005371
380	2	-31.875801	343.323944
390	1	-31.517332	346.680084
390	2	-32.409599	345.663116
400	1	-32.054520	348.298706
400	2	-32.936272	347.973755
410	1	-32.577873	349.889954
410	2	-33.457253	350.255524
420	1	-33.091614	351.483032
420	2	-33.971413	352.508728
430	1	-33.578033	353.031372
430	2	-34.478371	354.733398
440	1	-34.032822	354.519989
440	2	-34.979755	356.929169
450	1	-34.457642	355.954407
450	2	-35.474308	359.096375
