0	1	1.799150	56.580860
0	2	-30.000000	113.250000
10	1	1.794795	58.040829
10	2	-30.000000	113.250000
20	1	1.790603	59.500603
20	2	-30.000000	113.250000
30	1	1.786591	60.960213
30	2	-30.000000	113.250000
40	1	1.782773	62.419674
40	2	-30.000000	113.250000
50	1	1.779158	63.879009
50	2	-29.833334	113.250000
60	1	1.775753	65.338234
60	2	-29.000000	113.250000
70	1	1.772562	66.797356
70	2	-28.166666	113.250000
80	1	1.769587	68.256401
80	2	-27.333334	113.250000
90	1	1.766826	69.715363
90	2	-26.500000	113.250000
100	1	1.764277	71.174263
100	2	-25.666666	113.250000
110	1	1.761935	72.633102
110	2	-24.833334	113.250000
120	1	1.759796	74.091888
120	2	-24.000000	113.250000
130	1	1.757851	75.550629
130	2	-23.166666	113.250000
140	1	1.756094	77.009331
140	2	-22.333334	113.250000
150	1	1.754516	78.467987
150	2	-21.500000	113.250000
160	1	1.753107	79.926620
160	2	-20.666666	113.250000
170	1	1.751859	81.385223
170	2	-19.833334	113.250000
180	1	1.750762	82.843796
180	2	-19.000000	113.250000
190	1	1.749806	84.302345
190	2	-18.166666	113.250000
200	1	1.748980	85.760872
200	2	-17.333334	113.250000
210	1	1.748276	87.219383
210	2	-16.500000	113.250000
220	1	1.747684	88.677872
220	2	-15.666667	113.250000
230	1	1.747194	90.136353
230	2	-14.833333	113.250000
240	1	1.746797	91.594818
240	2	-14.000000	113.250000
250	1	1.746485	93.053268
250	2	-13.166667	113.250000
260	1	1.746248	94.511711
260	2	-12.333333	113.250000
270	1	1.746080	95.970139
270	2	-11.500000	113.250000
280	1	1.745973	97.428558
280	2	-10.666667	113.250000
290	1	1.745918	98.886971
290	2	-9.833333	113.250000
300	1	1.745910	100.345375
300	2	-9.000000	113.250000
310	1	1.745943	101.803772
310	2	-8.166667	113.250000
320	1	1.746011	103.262161
320	2	-7.333333	113.250000
330	1	1.746107	104.720551
330	2	-6.500000	113.250000
340	1	1.746229	106.178932
340	2	-5.666667	113.250000
350	1	1.746370	107.637306
350	2	-4.833333	113.250000
360	1	1.746530	109.095177
360	2	-4.000000	113.250000
370	1	1.746724	110.531616
370	2	-3.166667	113.250000
380	1	1.746958	111.903091
380	2	-2.333333	113.250000
390	1	1.747092	113.229668
390	2	-1.500000	113.250000
400	1	1.747193	114.559990
400	2	-0.666667	113.250000
410	1	1.747367	115.887596
410	2	0.166667	113.250000
420	1	1.747573	117.206635
420	2	1.000000	113.250000
430	1	1.747774	118.516975
430	2	1.833333	113.250000
440	1	1.747944	119.818436
440	2	2.666667	113.250000
450	1	1.748096	121.110825
450	2	3.500000	113.250000
