0	1	13.747052	97.058006
0	2	64.107857	220.409622
10	1	14.231392	98.943199
10	2	63.347881	219.247086
20	1	14.724357	100.825958
20	2	62.591923	218.081940
30	1	15.225969	102.706276
30	2	61.839993	216.914169
40	1	15.736257	104.584099
40	2	61.092102	215.743820
50	1	16.255241	106.459396
50	2	60.348255	214.570892
60	1	16.782949	108.332138
60	2	59.608467	213.395416
70	1	17.319403	110.202278
70	2	58.872742	212.217377
80	1	17.864622	112.069771
80	2	58.141087	211.036804
90	1	18.418631	113.934586
90	2	57.413517	209.853714
100	1	18.981447	115.796677
100	2	56.690037	208.668121
110	1	19.553089	117.655998
110	2	55.970657	207.480042
120	1	20.133572	119.512505
120	2	55.255390	206.289474
130	1	20.722908	121.366150
130	2	54.544239	205.096436
140	1	21.321114	123.216896
140	2	53.837219	203.900955
150	1	21.928196	125.064697
150	2	53.134331	202.703033
160	1	22.544165	126.909500
160	2	52.435593	201.502686
170	1	23.169027	128.751266
170	2	51.741009	200.299942
180	1	23.802790	130.589935
180	2	51.050587	199.094788
190	1	24.445452	132.425491
190	2	50.364342	197.887268
200	1	25.097019	134.257858
200	2	49.682278	196.677368
210	1	25.757490	136.087006
210	2	49.004402	195.465118
220	1	26.426861	137.912888
220	2	48.330730	194.250534
230	1	27.105608	139.736679
230	2	47.661266	193.033615
240	1	27.796694	141.565445
240	2	46.996025	191.814392
250	1	28.496817	143.391815
250	2	46.335011	190.592865
260	1	29.205814	145.215302
260	2	45.678230	189.369064
270	1	29.923910	147.035522
270	2	45.025692	188.142990
280	1	30.651127	148.852188
280	2	44.377407	186.914658
290	1	31.387367	150.665115
290	2	43.733376	185.684097
300	1	32.132523	152.474167
300	2	43.093609	184.451324
310	1	32.886494	154.279190
310	2	42.458046	183.216354
320	1	33.649220	156.080063
320	2	41.823750	181.980713
330	1	34.420666	157.876694
330	2	41.189507	180.744812
340	1	35.200802	159.668976
340	2	40.564186	179.503830
350	1	35.989594	161.456863
350	2	39.961475	178.251038
360	1	36.787006	163.240295
360	2	39.394657	176.981064
370	1	37.593002	165.019241
370	2	38.873837	175.691315
380	1	38.407551	166.793655
380	2	38.404747	174.382019
390	1	39.230625	168.563538
390	2	37.988548	173.055374
400	1	40.062206	170.328827
400	2	37.622097	171.714691
410	1	40.902264	172.089508
410	2	37.298500	170.363541
420	1	41.750782	173.845581
420	2	37.007866	169.005295
430	1	42.607735	175.597015
430	2	36.738140	167.642853
440	1	43.473106	177.343796
440	2	36.476051	166.278809
450	1	44.346878	179.085922
450	2	36.208088	164.915604
