output_name,txt_found,status,message,saved_rows,closest_frame,min_distance,sampled_dt,saved_path
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_101441.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10150.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_101583.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_101818.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10182.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_1019.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_101903.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_101954.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102054.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10227.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102333.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102393.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102494.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102516.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102527.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102594.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10268.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102714.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102740.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102770.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102772.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_1029.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10290.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102927.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102967.txt,True,SAVED,,92,420,2.3844902905285648,0.09913043478260572,mat_preprocess/mat_txt/collision_extract/Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102967_window.txt
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_102997.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103094.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103138.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103164.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103204.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103266.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103272.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103322.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103409.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103478.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10351.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103524.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103587.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103643.txt,True,SAVED,,92,430,2.7318694598558286,0.09996363636363337,mat_preprocess/mat_txt/collision_extract/Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103643_window.txt
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103666.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103792.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103834.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103929.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103947.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_103998.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_104040.txt,True,SAVED,,92,450,2.9512938710636734,0.09996363636363337,mat_preprocess/mat_txt/collision_extract/Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_104040_window.txt
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_104106.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_104115.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_104129.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_104166.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_104186.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_104293.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
