agent,sample,frame,x,y,yaw,width,length
0,0,334,30.86613655090332,138.3040771484375,1.2152035236358643,1.6070000000000002,4.936
0,0,335,30.916507720947266,138.438720703125,1.214926838874817,1.6070000000000002,4.936
0,0,336,30.966033935546875,138.57098388671875,1.2146559953689575,1.6070000000000002,4.936
0,0,337,31.014589309692383,138.7005615234375,1.2143914699554443,1.6070000000000002,4.936
0,0,338,31.062097549438477,138.82728576660156,1.2141342163085938,1.6070000000000002,4.936
0,0,339,31.108600616455078,138.95126342773438,1.213881254196167,1.6070000000000002,4.936
0,0,340,31.15426254272461,139.0729522705078,1.2136342525482178,1.6070000000000002,4.936
0,0,341,31.199207305908203,139.19264221191406,1.2133926153182983,1.6070000000000002,4.936
0,0,342,31.24349021911621,139.3104705810547,1.2131565809249878,1.6070000000000002,4.936
0,0,343,31.28710174560547,139.4263916015625,1.2129263877868652,1.6070000000000002,4.936
0,0,344,31.33001136779785,139.5403289794922,1.2127025127410889,1.6070000000000002,4.936
0,0,345,31.372182846069336,139.6521759033203,1.2124855518341064,1.6070000000000002,4.936
0,0,346,31.41358184814453,139.76185607910156,1.2122762203216553,1.6070000000000002,4.936
0,0,347,31.454191207885742,139.8693389892578,1.2120749950408936,1.6070000000000002,4.936
0,0,348,31.493999481201172,139.97459411621094,1.2118823528289795,1.6070000000000002,4.936
0,0,349,31.532997131347656,140.07763671875,1.2116984128952026,1.6070000000000002,4.936
0,0,350,31.571178436279297,140.17845153808594,1.2115229368209839,1.6070000000000002,4.936
0,0,351,31.608535766601562,140.2770233154297,1.211355447769165,1.6070000000000002,4.936
0,0,352,31.645061492919922,140.37338256835938,1.211195468902588,1.6070000000000002,4.936
0,0,353,31.68075180053711,140.46749877929688,1.2110424041748047,1.6070000000000002,4.936
0,0,354,31.715599060058594,140.5593719482422,1.2108960151672363,1.6070000000000002,4.936
0,0,355,31.749603271484375,140.64901733398438,1.2107555866241455,1.6070000000000002,4.936
0,0,356,31.782758712768555,140.73643493652344,1.2106208801269531,1.6070000000000002,4.936
0,0,357,31.8150634765625,140.82159423828125,1.2104917764663696,1.6070000000000002,4.936
0,0,358,31.846519470214844,140.90452575683594,1.210368037223816,1.6070000000000002,4.936
0,0,359,31.87712287902832,140.98521423339844,1.210249900817871,1.6070000000000002,4.936
0,0,360,31.906875610351562,141.0636749267578,1.2101373672485352,1.6070000000000002,4.936
0,0,361,31.93577766418457,141.139892578125,1.2100309133529663,1.6070000000000002,4.936
0,0,362,31.963829040527344,141.2138671875,1.2099307775497437,1.6070000000000002,4.936
0,0,363,31.99102020263672,141.2855987548828,1.209837555885315,1.6070000000000002,4.936
0,0,364,32.01724624633789,141.35476684570312,1.2097522020339966,1.6070000000000002,4.936
0,0,365,32.04238510131836,141.42112731933594,1.209675669670105,1.6070000000000002,4.936
0,0,366,32.06642150878906,141.484619140625,1.2096081972122192,1.6070000000000002,4.936
0,0,367,32.089500427246094,141.54562377929688,1.2095493078231812,1.6070000000000002,4.936
0,0,368,32.11178970336914,141.6045684814453,1.2094988822937012,1.6070000000000002,4.936
0,0,369,32.13338851928711,141.66168212890625,1.2094566822052002,1.6070000000000002,4.936
0,0,370,32.154300689697266,141.7169647216797,1.2094231843948364,1.6070000000000002,4.936
0,0,371,32.17451095581055,141.77037048339844,1.2093993425369263,1.6070000000000002,4.936
0,0,372,32.19397735595703,141.82180786132812,1.209386944770813,1.6070000000000002,4.936
0,0,373,32.21265411376953,141.8711395263672,1.209387183189392,1.6070000000000002,4.936
0,0,374,32.23051834106445,141.9183349609375,1.2094013690948486,1.6070000000000002,4.936
0,0,375,32.24755096435547,141.96334838867188,1.2094303369522095,1.6070000000000002,4.936
0,0,376,32.26374816894531,142.00616455078125,1.2094751596450806,1.6070000000000002,4.936
0,0,377,32.27909469604492,142.04681396484375,1.2095359563827515,1.6070000000000002,4.936
0,0,378,32.2935905456543,142.0852508544922,1.209611415863037,1.6070000000000002,4.936
0,0,379,32.307228088378906,142.12147521972656,1.2096984386444092,1.6070000000000002,4.936
0,0,380,32.320003509521484,142.15550231933594,1.2097933292388916,1.6070000000000002,4.936
0,0,381,32.331912994384766,142.1873016357422,1.2098922729492188,1.6070000000000002,4.936
0,0,382,32.34294891357422,142.2168731689453,1.2099913358688354,1.6070000000000002,4.936
0,0,383,32.353118896484375,142.24420166015625,1.2100869417190552,1.6070000000000002,4.936
