Variation,v_ego,v_target,t_cut_in,a_target,R_cut_in
216,70,30,5,-2,40
217,70,30,5,-2,50
218,70,30,5,0,30
219,70,30,5,0,40
220,70,30,5,0,50
221,70,50,1,-8,10
222,70,50,1,-8,20
223,70,50,1,-8,30
224,70,50,1,-8,40
225,70,50,1,-8,50
226,70,50,1,-6,10
227,70,50,1,-6,20
228,70,50,1,-6,30
229,70,50,1,-6,40
230,70,50,1,-6,50
231,70,50,1,-4,10
232,70,50,1,-4,20
233,70,50,1,-4,30
234,70,50,1,-4,40
235,70,50,1,-4,50
236,70,50,1,-2,10
237,70,50,1,-2,20
238,70,50,1,-2,30
239,70,50,1,-2,40
240,70,50,1,-2,50
241,70,50,1,0,10
242,70,50,1,0,20
243,70,50,1,0,30
244,70,50,1,0,40
245,70,50,1,0,50
246,70,50,2,-8,10
247,70,50,2,-8,20
248,70,50,2,-8,30
249,70,50,2,-8,40
250,70,50,2,-8,50
251,70,50,2,-6,10
252,70,50,2,-6,20
253,70,50,2,-6,30
254,70,50,2,-6,40
255,70,50,2,-6,50
256,70,50,2,-4,10
257,70,50,2,-4,20
258,70,50,2,-4,30
259,70,50,2,-4,40
260,70,50,2,-4,50
261,70,50,2,-2,10
262,70,50,2,-2,20
263,70,50,2,-2,30
264,70,50,2,-2,40
265,70,50,2,-2,50
266,70,50,2,0,10
267,70,50,2,0,20
268,70,50,2,0,30
269,70,50,2,0,40
270,70,50,2,0,50
271,70,50,3,-8,10
272,70,50,3,-8,20
273,70,50,3,-8,30
274,70,50,3,-8,40
275,70,50,3,-8,50
276,70,50,3,-6,10
277,70,50,3,-6,20
278,70,50,3,-6,30
279,70,50,3,-6,40
280,70,50,3,-6,50
281,70,50,3,-4,10
282,70,50,3,-4,20
283,70,50,3,-4,30
284,70,50,3,-4,40
285,70,50,3,-4,50
286,70,50,3,-2,10
287,70,50,3,-2,20
288,70,50,3,-2,30
289,70,50,3,-2,40
290,70,50,3,-2,50
291,70,50,3,0,10
292,70,50,3,0,20
293,70,50,3,0,30
294,70,50,3,0,40
295,70,50,3,0,50
296,70,50,4,-8,20
297,70,50,4,-8,30
298,70,50,4,-8,40
299,70,50,4,-8,50
300,70,50,4,-6,20
301,70,50,4,-6,30
302,70,50,4,-6,40
303,70,50,4,-6,50
304,70,50,4,-4,10
305,70,50,4,-4,20
306,70,50,4,-4,30
307,70,50,4,-4,40
308,70,50,4,-4,50
309,70,50,4,-2,10
310,70,50,4,-2,20
311,70,50,4,-2,30
312,70,50,4,-2,40
313,70,50,4,-2,50
314,70,50,4,0,10
315,70,50,4,0,20
316,70,50,4,0,30
317,70,50,4,0,40
318,70,50,4,0,50
319,70,50,5,-8,20
320,70,50,5,-8,30
321,70,50,5,-8,40
322,70,50,5,-8,50
323,70,50,5,-6,20
324,70,50,5,-6,30
325,70,50,5,-6,40
326,70,50,5,-6,50
327,70,50,5,-4,20
328,70,50,5,-4,30
329,70,50,5,-4,40
330,70,50,5,-4,50
331,70,50,5,-2,20
332,70,50,5,-2,30
333,70,50,5,-2,40
334,70,50,5,-2,50
335,70,50,5,0,20
336,70,50,5,0,30
337,70,50,5,0,40
338,70,50,5,0,50
339,90,30,1,-8,10
340,90,30,1,-8,20
341,90,30,1,-8,30
342,90,30,1,-8,40
343,90,30,1,-8,50
344,90,30,1,-6,10
345,90,30,1,-6,20
346,90,30,1,-6,30
347,90,30,1,-6,40
348,90,30,1,-6,50
349,90,30,1,-4,10
350,90,30,1,-4,20
351,90,30,1,-4,30
352,90,30,1,-4,40
353,90,30,1,-4,50
354,90,30,1,-2,10
355,90,30,1,-2,20
356,90,30,1,-2,30
357,90,30,1,-2,40
358,90,30,1,-2,50
359,90,30,1,0,10
360,90,30,1,0,20
361,90,30,1,0,30
362,90,30,1,0,40
363,90,30,1,0,50
364,90,30,2,-8,20
365,90,30,2,-8,30
366,90,30,2,-8,40
367,90,30,2,-8,50
368,90,30,2,-6,10
369,90,30,2,-6,20
370,90,30,2,-6,30
371,90,30,2,-6,40
372,90,30,2,-6,50
373,90,30,2,-4,10
374,90,30,2,-4,20
375,90,30,2,-4,30
376,90,30,2,-4,40
377,90,30,2,-4,50
378,90,30,2,-2,10
379,90,30,2,-2,20
380,90,30,2,-2,30
381,90,30,2,-2,40
382,90,30,2,-2,50
383,90,30,2,0,10
384,90,30,2,0,20
385,90,30,2,0,30
386,90,30,2,0,40
387,90,30,2,0,50
388,90,30,3,-8,30
389,90,30,3,-8,40
390,90,30,3,-8,50
391,90,30,3,-6,30
392,90,30,3,-6,40
393,90,30,3,-6,50
394,90,30,3,-4,20
395,90,30,3,-4,30
396,90,30,3,-4,40
397,90,30,3,-4,50
398,90,30,3,-2,20
399,90,30,3,-2,30
400,90,30,3,-2,40
401,90,30,3,-2,50
402,90,30,3,0,10
403,90,30,3,0,20
404,90,30,3,0,30
405,90,30,3,0,40
406,90,30,3,0,50
407,90,30,4,-8,50
408,90,30,4,-6,40
409,90,30,4,-6,50
410,90,30,4,-4,30
411,90,30,4,-4,40
412,90,30,4,-4,50
413,90,30,4,-2,30
414,90,30,4,-2,40
415,90,30,4,-2,50
416,90,30,4,0,20
417,90,30,4,0,30
418,90,30,4,0,40
419,90,30,4,0,50
420,90,30,5,-6,50
421,90,30,5,-4,50
422,90,30,5,-2,40
423,90,30,5,-2,50
424,90,30,5,0,40
425,90,30,5,0,50
426,90,50,1,-8,10
427,90,50,1,-8,20
428,90,50,1,-8,30
429,90,50,1,-8,40
430,90,50,1,-8,50
431,90,50,1,-6,10
432,90,50,1,-6,20
433,90,50,1,-6,30
434,90,50,1,-6,40
435,90,50,1,-6,50
436,90,50,1,-4,10
437,90,50,1,-4,20
438,90,50,1,-4,30
439,90,50,1,-4,40
440,90,50,1,-4,50
441,90,50,1,-2,10
442,90,50,1,-2,20
443,90,50,1,-2,30
444,90,50,1,-2,40
